SampleID,TaxaID,N_Taxa,INDEX_CLASS,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,FFG,HABIT,NONTARGET
030673-9/27/23,Amphipoda,84,VeryNarrow,Crustacea,Crustacea,,Amphipoda,,SH,,FALSE
030673-9/27/23,Ancylidae,1,VeryNarrow,,Gastropoda,,Basommatophora,Ancylidae,SC,CB;CN,FALSE
030673-9/27/23,Athericidae,1,VeryNarrow,,Insecta,,Diptera,Athericidae,PR,SP,FALSE
030673-9/27/23,Baetidae,27,VeryNarrow,,Insecta,,Ephemeroptera,Baetidae,CG,CN;SW,FALSE
030673-9/27/23,Brachycentridae,9,VeryNarrow,,Insecta,,Trichoptera,Brachycentridae,CF,CN,FALSE
030673-9/27/23,Calopterygidae,6,VeryNarrow,,Insecta,,Odonata,Calopterygidae,PR,CB;CN,FALSE
030673-9/27/23,Chironomidae,8,VeryNarrow,,Insecta,,Diptera,Chironomidae,CG,,FALSE
030673-9/27/23,Coenagrionidae,2,VeryNarrow,,Insecta,,Odonata,Coenagrionidae,PR,CB;SP,FALSE
030673-9/27/23,Corixidae,22,VeryNarrow,,Insecta,,Hemiptera,Corixidae,CG,SW,FALSE
030673-9/27/23,Decapoda,3,VeryNarrow,Crustacea,Crustacea,,Decapoda,Decapoda,CG,,FALSE
030673-9/27/23,Elmidae,7,VeryNarrow,,Insecta,,Coleoptera,Elmidae,CG,CN,FALSE
030673-9/27/23,Haliplidae,1,VeryNarrow,,Insecta,,Coleoptera,Haliplidae,SH,,FALSE
030673-9/27/23,Heptageniidae,16,VeryNarrow,,Insecta,,Ephemeroptera,Heptageniidae,SC,CN,FALSE
030673-9/27/23,Hydropsychidae,6,VeryNarrow,,Insecta,,Trichoptera,Hydropsychidae,CF,CN,FALSE
030673-9/27/23,Isonychiidae,1,VeryNarrow,,Insecta,,Ephemeroptera,Isonychiidae,CF,SW,FALSE
030673-9/27/23,Isopoda,18,VeryNarrow,Crustacea,Crustacea,,Isopoda,,SH,,FALSE
030673-9/27/23,Leptophlebiidae,12,VeryNarrow,,Insecta,,Ephemeroptera,Leptophlebiidae,CG,CN;SW,FALSE
030673-9/27/23,Oligochaeta,10,VeryNarrow,,Oligochaeta,,Haplotaxida,,CG,BU,FALSE
030673-9/27/23,Perlidae,1,VeryNarrow,,Insecta,,Plecoptera,Perlidae,PR,CN,FALSE
030673-9/27/23,Phryganeidae,1,VeryNarrow,,Insecta,,Trichoptera,Phryganeidae,SH,CB;CN,FALSE
030673-9/27/23,Physidae,1,VeryNarrow,,Gastropoda,,Basommatophora,Physidae,SC,CB,FALSE
030673-9/27/23,Pisidiidae,1,VeryNarrow,,Bivalvia,,Veneroida,Pisidiidae,CF,BU,FALSE
030673-9/27/23,Polycentropodidae,2,VeryNarrow,,Insecta,,Trichoptera,Polycentropodidae,PR,CN,FALSE
030673-9/27/23,Psychomyiidae,2,VeryNarrow,,Insecta,,Trichoptera,Psychomyiidae,SC,CN,FALSE
030673-9/27/23,Simuliidae,16,VeryNarrow,,Insecta,,Diptera,Simulidae,CF,CN,FALSE
030673-9/27/23,Tipulidae,4,VeryNarrow,,Insecta,,Diptera,Tipulidae,CG,BU,FALSE
030673-9/27/23,Viviparidae,1,VeryNarrow,,Gastropoda,,Architaenioglossa,Viviparidae,SC,CB,FALSE
030769-8/25/23,Aeshnidae,1,WetWide,,Insecta,,Odonata,Aeshnidae,PR,CB;CN,FALSE
030769-8/25/23,Amphipoda,48,WetWide,Crustacea,Crustacea,,Amphipoda,,SH,,FALSE
030769-8/25/23,Baetidae,11,WetWide,,Insecta,,Ephemeroptera,Baetidae,CG,CN;SW,FALSE
030769-8/25/23,Belostomatidae,1,WetWide,,Insecta,,Hemiptera,Belostomatidae,PR,CB;SW,FALSE
030769-8/25/23,Ceratopogonidae,2,WetWide,,Insecta,,Diptera,Ceratopogonidae,PR,BU;SP,FALSE
030769-8/25/23,Chironomidae,53,WetWide,,Insecta,,Diptera,Chironomidae,CG,,FALSE
030769-8/25/23,Coenagrionidae,1,WetWide,,Insecta,,Odonata,Coenagrionidae,PR,CB;SP,FALSE
030769-8/25/23,Corixidae,1,WetWide,,Insecta,,Hemiptera,Corixidae,CG,SW,FALSE
030769-8/25/23,Dytiscidae,1,WetWide,,Insecta,,Coleoptera,Dytiscidae,PR,BU;SW,FALSE
030769-8/25/23,Gerridae,2,WetWide,,Insecta,,Hemiptera,Gerridae,PR,SK,FALSE
030769-8/25/23,Haliplidae,1,WetWide,,Insecta,,Coleoptera,Haliplidae,SH,,FALSE
030769-8/25/23,Hydracarina,3,WetWide,,Arachnida,,,,PR,,FALSE
030769-8/25/23,Hydrophilidae,2,WetWide,,Insecta,,Coleoptera,Hydrophilidae,PR,BU;SW,FALSE
030769-8/25/23,Isopoda,4,WetWide,Crustacea,Crustacea,,Isopoda,,SH,,FALSE
030769-8/25/23,Mesoveliidae,1,WetWide,,Insecta,,Hemiptera,Mesoveliidae,PR,SK,FALSE
030769-8/25/23,Nepidae,1,WetWide,,Insecta,,Hemiptera,Nepidae,PR,CB;CN,FALSE
030769-8/25/23,Oligochaeta,211,WetWide,,Oligochaeta,,Haplotaxida,,CG,BU,FALSE
030769-8/25/23,Physidae,11,WetWide,,Gastropoda,,Basommatophora,Physidae,SC,CB,FALSE
030769-8/25/23,Tipulidae,2,WetWide,,Insecta,,Diptera,Tipulidae,CG,BU,FALSE
030769-8/25/23,Turbellaria,2,WetWide,,Turbellaria,,,,CG,,FALSE
050176-8/3/23,Amphipoda,5,VeryNarrow,Crustacea,Crustacea,,Amphipoda,,SH,,FALSE
050176-8/3/23,Athericidae,1,VeryNarrow,,Insecta,,Diptera,Athericidae,PR,SP,FALSE
050176-8/3/23,Baetidae,5,VeryNarrow,,Insecta,,Ephemeroptera,Baetidae,CG,CN;SW,FALSE
050176-8/3/23,Baetiscidae,1,VeryNarrow,,Insecta,,Ephemeroptera,Baetiscidae,CG,BU;CN;SP,FALSE
050176-8/3/23,Brachycentridae,51,VeryNarrow,,Insecta,,Trichoptera,Brachycentridae,CF,CN,FALSE
050176-8/3/23,Chironomidae,149,VeryNarrow,,Insecta,,Diptera,Chironomidae,CG,,FALSE
050176-8/3/23,Corixidae,7,VeryNarrow,,Insecta,,Hemiptera,Corixidae,CG,SW,FALSE
050176-8/3/23,Ephemerellidae,4,VeryNarrow,,Insecta,,Ephemeroptera,Ephemerellidae,SC,CN,FALSE
050176-8/3/23,Haliplidae,1,VeryNarrow,,Insecta,,Coleoptera,Haliplidae,SH,,FALSE
050176-8/3/23,Hydracarina,9,VeryNarrow,,Arachnida,,,,PR,,FALSE
050176-8/3/23,Isopoda,9,VeryNarrow,Crustacea,Crustacea,,Isopoda,,SH,,FALSE
050176-8/3/23,Leptophlebiidae,2,VeryNarrow,,Insecta,,Ephemeroptera,Leptophlebiidae,CG,CN;SW,FALSE
050176-8/3/23,Limnephilidae,1,VeryNarrow,,Insecta,,Trichoptera,Limnephilidae,SH,SP,FALSE
050176-8/3/23,Oligochaeta,7,VeryNarrow,,Oligochaeta,,Haplotaxida,,CG,BU,FALSE
050176-8/3/23,Physidae,2,VeryNarrow,,Gastropoda,,Basommatophora,Physidae,SC,CB,FALSE
050176-8/3/23,Planorbidae,1,VeryNarrow,,Gastropoda,,Basommatophora,Planorbidae,SC,CB,FALSE
050176-8/3/23,Simuliidae,3,VeryNarrow,,Insecta,,Diptera,Simulidae,CF,CN,FALSE
050176-8/3/23,Tabanidae,4,VeryNarrow,,Insecta,,Diptera,Tabanidae,PR,SP,FALSE
050176-8/3/23,Tipulidae,1,VeryNarrow,,Insecta,,Diptera,Tipulidae,CG,BU,FALSE
050176-8/3/23,Turbellaria,1,VeryNarrow,,Turbellaria,,,,CG,,FALSE
050181-9/21/23,Amphipoda,42,WestFlat,Crustacea,Crustacea,,Amphipoda,,SH,,FALSE
050181-9/21/23,Baetidae,42,WestFlat,,Insecta,,Ephemeroptera,Baetidae,CG,CN;SW,FALSE
050181-9/21/23,Brachycentridae,1,WestFlat,,Insecta,,Trichoptera,Brachycentridae,CF,CN,FALSE
050181-9/21/23,Chironomidae,119,WestFlat,,Insecta,,Diptera,Chironomidae,CG,,FALSE
050181-9/21/23,Dixidae,1,WestFlat,,Insecta,,Diptera,Dixidae,CG,SW,FALSE
050181-9/21/23,Ephemerellidae,24,WestFlat,,Insecta,,Ephemeroptera,Ephemerellidae,SC,CN,FALSE
050181-9/21/23,Hydracarina,3,WestFlat,,Arachnida,,,,PR,,FALSE
050181-9/21/23,Hydropsychidae,3,WestFlat,,Insecta,,Trichoptera,Hydropsychidae,CF,CN,FALSE
050181-9/21/23,Isopoda,2,WestFlat,Crustacea,Crustacea,,Isopoda,,SH,,FALSE
050181-9/21/23,Leptophlebiidae,1,WestFlat,,Insecta,,Ephemeroptera,Leptophlebiidae,CG,CN;SW,FALSE
050181-9/21/23,Limnephilidae,1,WestFlat,,Insecta,,Trichoptera,Limnephilidae,SH,SP,FALSE
050181-9/21/23,Pisidiidae,1,WestFlat,,Bivalvia,,Veneroida,Pisidiidae,CF,BU,FALSE
050181-9/21/23,Rhyacophilidae,3,WestFlat,,Insecta,,Trichoptera,Rhyacophilidae,PR,CN,FALSE
050181-9/21/23,Sialidae,2,WestFlat,,Insecta,,Megaloptera,Sialidae,PR,BU,FALSE
050181-9/21/23,Simuliidae,16,WestFlat,,Insecta,,Diptera,Simulidae,CF,CN,FALSE
050222-9/7/23,Amphipoda,57,MidSizeDry,Crustacea,Crustacea,,Amphipoda,,SH,,FALSE
050222-9/7/23,Baetidae,30,MidSizeDry,,Insecta,,Ephemeroptera,Baetidae,CG,CN;SW,FALSE
050222-9/7/23,Brachycentridae,12,MidSizeDry,,Insecta,,Trichoptera,Brachycentridae,CF,CN,FALSE
050222-9/7/23,Chironomidae,144,MidSizeDry,,Insecta,,Diptera,Chironomidae,CG,,FALSE
050222-9/7/23,Corixidae,1,MidSizeDry,,Insecta,,Hemiptera,Corixidae,CG,SW,FALSE
050222-9/7/23,Ephemerellidae,3,MidSizeDry,,Insecta,,Ephemeroptera,Ephemerellidae,SC,CN,FALSE
050222-9/7/23,Gerridae,1,MidSizeDry,,Insecta,,Hemiptera,Gerridae,PR,SK,FALSE
050222-9/7/23,Hydracarina,2,MidSizeDry,,Arachnida,,,,PR,,FALSE
050222-9/7/23,Hydrobiidae,1,MidSizeDry,,Gastropoda,,Neotaenioglossa,Hydrobiidae,SC,CN,FALSE
050222-9/7/23,Isopoda,7,MidSizeDry,Crustacea,Crustacea,,Isopoda,,SH,,FALSE
050222-9/7/23,Limnephilidae,10,MidSizeDry,,Insecta,,Trichoptera,Limnephilidae,SH,SP,FALSE
050222-9/7/23,Oligochaeta,2,MidSizeDry,,Oligochaeta,,Haplotaxida,,CG,BU,FALSE
050222-9/7/23,Phryganeidae,1,MidSizeDry,,Insecta,,Trichoptera,Phryganeidae,SH,CB;CN,FALSE
050222-9/7/23,Pisidiidae,1,MidSizeDry,,Bivalvia,,Veneroida,Pisidiidae,CF,BU,FALSE
050222-9/7/23,Rhyacophilidae,2,MidSizeDry,,Insecta,,Trichoptera,Rhyacophilidae,PR,CN,FALSE
050222-9/7/23,Simuliidae,6,MidSizeDry,,Insecta,,Diptera,Simulidae,CF,CN,FALSE
050222-9/7/23,Tipulidae,1,MidSizeDry,,Insecta,,Diptera,Tipulidae,CG,BU,FALSE
050223-9/7/23,Amphipoda,52,WestFlat,Crustacea,Crustacea,,Amphipoda,,SH,,FALSE
050223-9/7/23,Baetidae,21,WestFlat,,Insecta,,Ephemeroptera,Baetidae,CG,CN;SW,FALSE
050223-9/7/23,Brachycentridae,14,WestFlat,,Insecta,,Trichoptera,Brachycentridae,CF,CN,FALSE
050223-9/7/23,Ceratopogonidae,1,WestFlat,,Insecta,,Diptera,Ceratopogonidae,PR,BU;SP,FALSE
050223-9/7/23,Chironomidae,61,WestFlat,,Insecta,,Diptera,Chironomidae,CG,,FALSE
050223-9/7/23,Corixidae,1,WestFlat,,Insecta,,Hemiptera,Corixidae,CG,SW,FALSE
050223-9/7/23,Ephemerellidae,2,WestFlat,,Insecta,,Ephemeroptera,Ephemerellidae,SC,CN,FALSE
050223-9/7/23,Hydracarina,4,WestFlat,,Arachnida,,,,PR,,FALSE
050223-9/7/23,Hydropsychidae,1,WestFlat,,Insecta,,Trichoptera,Hydropsychidae,CF,CN,FALSE
050223-9/7/23,Lepidostomatidae,1,WestFlat,,Insecta,,Trichoptera,Lepidostomatidae,SH,CB,FALSE
