SampleID,INDEX_CLASS,TaxaID,N_Taxa,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,FFG,TOLVAL,HABIT,NONTARGET
010145-8/16/23,WetWide,Ancylidae,1,Mollusca,,Gastropoda,,Basommatophora,Ancylidae,SC,6.7,CB;CN,FALSE
010145-8/16/23,WetWide,Athericidae,1,Arthropoda,,Insecta,,Diptera,Athericidae,PR,2,SP,FALSE
010145-8/16/23,WetWide,Baetidae,11,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
010145-8/16/23,WetWide,Calopterygidae,2,Arthropoda,,Insecta,,Odonata,Calopterygidae,PR,6.1,CB;CN,FALSE
010145-8/16/23,WetWide,Ceratopogonidae,3,Arthropoda,,Insecta,,Diptera,Ceratopogonidae,PR,6.3,BU;SP,FALSE
010145-8/16/23,WetWide,Chironomidae,76,Arthropoda,,Insecta,,Diptera,Chironomidae,CG,5.5,,FALSE
010145-8/16/23,WetWide,Decapoda,1,Arthropoda,Crustacea,Crustacea,,Decapoda,Decapoda,CG,6.4,,FALSE
010145-8/16/23,WetWide,Elmidae,9,Arthropoda,,Insecta,,Coleoptera,Elmidae,CG,4,CN,FALSE
010145-8/16/23,WetWide,Helicopsychidae,5,Arthropoda,,Insecta,,Trichoptera,Helicopsychidae,SC,2,BU,FALSE
010145-8/16/23,WetWide,Heptageniidae,1,Arthropoda,,Insecta,,Ephemeroptera,Heptageniidae,SC,1.9,CN,FALSE
010145-8/16/23,WetWide,Hirudinea,1,Annelida,,Hirudinea,Hirudinea,,,PR,NA,SP,FALSE
010145-8/16/23,WetWide,Hydracarina,11,Arthropoda,,Arachnida,,,,PR,5.5,,FALSE
010145-8/16/23,WetWide,Hydropsychidae,59,Arthropoda,,Insecta,,Trichoptera,Hydropsychidae,CF,2.7,CN,FALSE
010145-8/16/23,WetWide,Hydroptilidae,11,Arthropoda,,Insecta,,Trichoptera,Hydroptilidae,SC,4,CN,FALSE
010145-8/16/23,WetWide,Isopoda,7,Arthropoda,Crustacea,Crustacea,,Isopoda,,SH,7.6,,FALSE
010145-8/16/23,WetWide,Limnephilidae,1,Arthropoda,,Insecta,,Trichoptera,Limnephilidae,SH,2.8,SP,FALSE
010145-8/16/23,WetWide,Lymnaeidae,1,Mollusca,,Gastropoda,,Basommatophora,Lymnaeidae,SC,6.4,CB,FALSE
010145-8/16/23,WetWide,Mesoveliidae,2,Arthropoda,,Insecta,,Hemiptera,Mesoveliidae,PR,NA,SK,FALSE
010145-8/16/23,WetWide,Oligochaeta,11,Annelida,,Oligochaeta,,Haplotaxida,,CG,NA,BU,FALSE
010145-8/16/23,WetWide,Physidae,4,Mollusca,,Gastropoda,,Basommatophora,Physidae,SC,8,CB,FALSE
010145-8/16/23,WetWide,Polycentropodidae,3,Arthropoda,,Insecta,,Trichoptera,Polycentropodidae,PR,5.5,CN,FALSE
010145-8/16/23,WetWide,Sialidae,1,Arthropoda,,Insecta,,Megaloptera,Sialidae,PR,5.1,BU,FALSE
010145-8/16/23,WetWide,Tabanidae,1,Arthropoda,,Insecta,,Diptera,Tabanidae,PR,6.3,SP,FALSE
010145-8/16/23,WetWide,Unionidae,1,Mollusca,,Bivalvia,,Unionoida,Unionidae,CF,5,BU,FALSE
010146-8/16/23,Narrow,Amphipoda,29,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
010146-8/16/23,Narrow,Ancylidae,1,Mollusca,,Gastropoda,,Basommatophora,Ancylidae,SC,6.7,CB;CN,FALSE
010146-8/16/23,Narrow,Baetidae,15,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
010146-8/16/23,Narrow,Calopterygidae,9,Arthropoda,,Insecta,,Odonata,Calopterygidae,PR,6.1,CB;CN,FALSE
010146-8/16/23,Narrow,Chironomidae,96,Arthropoda,,Insecta,,Diptera,Chironomidae,CG,5.5,,FALSE
010146-8/16/23,Narrow,Cordulegastridae,1,Arthropoda,,Insecta,,Odonata,Cordulegastridae,PR,2.9,BU,FALSE
010146-8/16/23,Narrow,Corydalidae,5,Arthropoda,,Insecta,,Megaloptera,Corydalidae,PR,4.9,CN,FALSE
010146-8/16/23,Narrow,Decapoda,3,Arthropoda,Crustacea,Crustacea,,Decapoda,Decapoda,CG,6.4,,FALSE
010146-8/16/23,Narrow,Dixidae,1,Arthropoda,,Insecta,,Diptera,Dixidae,CG,2.9,SW,FALSE
010146-8/16/23,Narrow,Elmidae,1,Arthropoda,,Insecta,,Coleoptera,Elmidae,CG,4,CN,FALSE
010146-8/16/23,Narrow,Heptageniidae,1,Arthropoda,,Insecta,,Ephemeroptera,Heptageniidae,SC,1.9,CN,FALSE
010146-8/16/23,Narrow,Hydracarina,1,Arthropoda,,Arachnida,,,,PR,5.5,,FALSE
010146-8/16/23,Narrow,Hydropsychidae,2,Arthropoda,,Insecta,,Trichoptera,Hydropsychidae,CF,2.7,CN,FALSE
010146-8/16/23,Narrow,Leptoceridae,4,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,SH,3.6,SP;SW,FALSE
010146-8/16/23,Narrow,Limnephilidae,1,Arthropoda,,Insecta,,Trichoptera,Limnephilidae,SH,2.8,SP,FALSE
010146-8/16/23,Narrow,Mesoveliidae,4,Arthropoda,,Insecta,,Hemiptera,Mesoveliidae,PR,NA,SK,FALSE
010146-8/16/23,Narrow,Molannidae,2,Arthropoda,,Insecta,,Trichoptera,Molannidae,SC,5.2,SP,FALSE
010146-8/16/23,Narrow,Oligochaeta,3,Annelida,,Oligochaeta,,Haplotaxida,,CG,NA,BU,FALSE
010146-8/16/23,Narrow,Phryganeidae,1,Arthropoda,,Insecta,,Trichoptera,Phryganeidae,SH,4.5,CB;CN,FALSE
010146-8/16/23,Narrow,Physidae,23,Mollusca,,Gastropoda,,Basommatophora,Physidae,SC,8,CB,FALSE
010146-8/16/23,Narrow,Pisidiidae,9,Mollusca,,Bivalvia,,Veneroida,Pisidiidae,CF,6.6,BU,FALSE
010146-8/16/23,Narrow,Planorbidae,1,Mollusca,,Gastropoda,,Basommatophora,Planorbidae,SC,6.5,CB,FALSE
010146-8/16/23,Narrow,Polycentropodidae,1,Arthropoda,,Insecta,,Trichoptera,Polycentropodidae,PR,5.5,CN,FALSE
010146-8/16/23,Narrow,Sialidae,28,Arthropoda,,Insecta,,Megaloptera,Sialidae,PR,5.1,BU,FALSE
010146-8/16/23,Narrow,Tabanidae,3,Arthropoda,,Insecta,,Diptera,Tabanidae,PR,6.3,SP,FALSE
010147-8/16/23,Narrow,Aeshnidae,4,Arthropoda,,Insecta,,Odonata,Aeshnidae,PR,5.7,CB;CN,FALSE
010147-8/16/23,Narrow,Amphipoda,30,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
010147-8/16/23,Narrow,Ancylidae,5,Mollusca,,Gastropoda,,Basommatophora,Ancylidae,SC,6.7,CB;CN,FALSE
010147-8/16/23,Narrow,Athericidae,6,Arthropoda,,Insecta,,Diptera,Athericidae,PR,2,SP,FALSE
010147-8/16/23,Narrow,Baetidae,4,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
010147-8/16/23,Narrow,Calopterygidae,2,Arthropoda,,Insecta,,Odonata,Calopterygidae,PR,6.1,CB;CN,FALSE
010147-8/16/23,Narrow,Ceratopogonidae,3,Arthropoda,,Insecta,,Diptera,Ceratopogonidae,PR,6.3,BU;SP,FALSE
010147-8/16/23,Narrow,Chironomidae,39,Arthropoda,,Insecta,,Diptera,Chironomidae,CG,5.5,,FALSE
010147-8/16/23,Narrow,Cordulegastridae,4,Arthropoda,,Insecta,,Odonata,Cordulegastridae,PR,2.9,BU,FALSE
010147-8/16/23,Narrow,Corydalidae,3,Arthropoda,,Insecta,,Megaloptera,Corydalidae,PR,4.9,CN,FALSE
010147-8/16/23,Narrow,Elmidae,23,Arthropoda,,Insecta,,Coleoptera,Elmidae,CG,4,CN,FALSE
010147-8/16/23,Narrow,Gerridae,1,Arthropoda,,Insecta,,Hemiptera,Gerridae,PR,5.7,SK,FALSE
010147-8/16/23,Narrow,Glossosomatidae,1,Arthropoda,,Insecta,,Trichoptera,Glossosomatidae,SC,0.6,CN,FALSE
010147-8/16/23,Narrow,Heptageniidae,11,Arthropoda,,Insecta,,Ephemeroptera,Heptageniidae,SC,1.9,CN,FALSE
010147-8/16/23,Narrow,Hydracarina,2,Arthropoda,,Arachnida,,,,PR,5.5,,FALSE
010147-8/16/23,Narrow,Hydrophilidae,4,Arthropoda,,Insecta,,Coleoptera,Hydrophilidae,PR,5.4,BU;SW,FALSE
010147-8/16/23,Narrow,Hydropsychidae,41,Arthropoda,,Insecta,,Trichoptera,Hydropsychidae,CF,2.7,CN,FALSE
010147-8/16/23,Narrow,Leptoceridae,8,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,SH,3.6,SP;SW,FALSE
010147-8/16/23,Narrow,Limnephilidae,2,Arthropoda,,Insecta,,Trichoptera,Limnephilidae,SH,2.8,SP,FALSE
010147-8/16/23,Narrow,Mesoveliidae,4,Arthropoda,,Insecta,,Hemiptera,Mesoveliidae,PR,NA,SK,FALSE
010147-8/16/23,Narrow,Molannidae,1,Arthropoda,,Insecta,,Trichoptera,Molannidae,SC,5.2,SP,FALSE
010147-8/16/23,Narrow,Philopotamidae,1,Arthropoda,,Insecta,,Trichoptera,Philopotamidae,CF,1.4,CN,FALSE
010147-8/16/23,Narrow,Physidae,25,Mollusca,,Gastropoda,,Basommatophora,Physidae,SC,8,CB,FALSE
010147-8/16/23,Narrow,Pisidiidae,18,Mollusca,,Bivalvia,,Veneroida,Pisidiidae,CF,6.6,BU,FALSE
010147-8/16/23,Narrow,Polycentropodidae,2,Arthropoda,,Insecta,,Trichoptera,Polycentropodidae,PR,5.5,CN,FALSE
010147-8/16/23,Narrow,Sialidae,15,Arthropoda,,Insecta,,Megaloptera,Sialidae,PR,5.1,BU,FALSE
010147-8/16/23,Narrow,Simuliidae,5,Arthropoda,,Insecta,,Diptera,Simulidae,CF,4.2,CN,FALSE
010147-8/16/23,Narrow,Tabanidae,8,Arthropoda,,Insecta,,Diptera,Tabanidae,PR,6.3,SP,FALSE
010147-8/16/23,Narrow,Tipulidae,3,Arthropoda,,Insecta,,Diptera,Tipulidae,CG,4,BU,FALSE
010147-8/16/23,Narrow,Uenoidae,1,Arthropoda,,Insecta,,Trichoptera,Uenoidae,SC,1.5,CN,FALSE
010147-8/16/23,Narrow,Unionidae,1,Mollusca,,Bivalvia,,Unionoida,Unionidae,CF,5,BU,FALSE
030602-9/13/23,WestFlat,Amphipoda,7,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
030602-9/13/23,WestFlat,Ancylidae,29,Mollusca,,Gastropoda,,Basommatophora,Ancylidae,SC,6.7,CB;CN,FALSE
030602-9/13/23,WestFlat,Baetidae,16,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
030602-9/13/23,WestFlat,Calopterygidae,12,Arthropoda,,Insecta,,Odonata,Calopterygidae,PR,6.1,CB;CN,FALSE
030602-9/13/23,WestFlat,Chironomidae,40,Arthropoda,,Insecta,,Diptera,Chironomidae,CG,5.5,,FALSE
030602-9/13/23,WestFlat,Coenagrionidae,1,Arthropoda,,Insecta,,Odonata,Coenagrionidae,PR,8.1,CB;SP,FALSE
030602-9/13/23,WestFlat,Corixidae,13,Arthropoda,,Insecta,,Hemiptera,Corixidae,CG,8.2,SW,FALSE
030602-9/13/23,WestFlat,Decapoda,3,Arthropoda,Crustacea,Crustacea,,Decapoda,Decapoda,CG,6.4,,FALSE
030602-9/13/23,WestFlat,Dryopidae,1,Arthropoda,,Insecta,,Coleoptera,Dryopidae,SC,4.9,CB;CN,FALSE
030602-9/13/23,WestFlat,Elmidae,39,Arthropoda,,Insecta,,Coleoptera,Elmidae,CG,4,CN,FALSE
030602-9/13/23,WestFlat,Haliplidae,1,Arthropoda,,Insecta,,Coleoptera,Haliplidae,SH,7.3,,FALSE
030602-9/13/23,WestFlat,Heptageniidae,4,Arthropoda,,Insecta,,Ephemeroptera,Heptageniidae,SC,1.9,CN,FALSE
030602-9/13/23,WestFlat,Hirudinea,10,Annelida,,Hirudinea,Hirudinea,,,PR,NA,SP,FALSE
030602-9/13/23,WestFlat,Hydracarina,2,Arthropoda,,Arachnida,,,,PR,5.5,,FALSE
030602-9/13/23,WestFlat,Hydropsychidae,10,Arthropoda,,Insecta,,Trichoptera,Hydropsychidae,CF,2.7,CN,FALSE
030602-9/13/23,WestFlat,Isopoda,6,Arthropoda,Crustacea,Crustacea,,Isopoda,,SH,7.6,,FALSE
030602-9/13/23,WestFlat,Leptoceridae,1,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,SH,3.6,SP;SW,FALSE
030602-9/13/23,WestFlat,Oligochaeta,5,Annelida,,Oligochaeta,,Haplotaxida,,CG,NA,BU,FALSE
030602-9/13/23,WestFlat,Physidae,2,Mollusca,,Gastropoda,,Basommatophora,Physidae,SC,8,CB,FALSE
030602-9/13/23,WestFlat,Pisidiidae,58,Mollusca,,Bivalvia,,Veneroida,Pisidiidae,CF,6.6,BU,FALSE
030602-9/13/23,WestFlat,Simuliidae,6,Arthropoda,,Insecta,,Diptera,Simulidae,CF,4.2,CN,FALSE
030602-9/13/23,WestFlat,Tipulidae,1,Arthropoda,,Insecta,,Diptera,Tipulidae,CG,4,BU,FALSE
030602-9/13/23,WestFlat,Unionidae,1,Mollusca,,Bivalvia,,Unionoida,Unionidae,CF,5,BU,FALSE
030602-9/13/23,WestFlat,Veliidae,1,Arthropoda,,Insecta,,Hemiptera,Veliidae,PR,6.3,SK,FALSE
030602-9/13/23,WestFlat,Viviparidae,14,Mollusca,,Gastropoda,,Architaenioglossa,Viviparidae,SC,4.3,CB,FALSE
030673-9/27/23,WestFlat,Amphipoda,84,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
030673-9/27/23,WestFlat,Ancylidae,1,Mollusca,,Gastropoda,,Basommatophora,Ancylidae,SC,6.7,CB;CN,FALSE
030673-9/27/23,WestFlat,Athericidae,1,Arthropoda,,Insecta,,Diptera,Athericidae,PR,2,SP,FALSE
030673-9/27/23,WestFlat,Baetidae,27,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
030673-9/27/23,WestFlat,Brachycentridae,9,Arthropoda,,Insecta,,Trichoptera,Brachycentridae,CF,1,CN,FALSE
030673-9/27/23,WestFlat,Calopterygidae,6,Arthropoda,,Insecta,,Odonata,Calopterygidae,PR,6.1,CB;CN,FALSE
030673-9/27/23,WestFlat,Chironomidae,8,Arthropoda,,Insecta,,Diptera,Chironomidae,CG,5.5,,FALSE
030673-9/27/23,WestFlat,Coenagrionidae,2,Arthropoda,,Insecta,,Odonata,Coenagrionidae,PR,8.1,CB;SP,FALSE
030673-9/27/23,WestFlat,Corixidae,22,Arthropoda,,Insecta,,Hemiptera,Corixidae,CG,8.2,SW,FALSE
030673-9/27/23,WestFlat,Decapoda,3,Arthropoda,Crustacea,Crustacea,,Decapoda,Decapoda,CG,6.4,,FALSE
030673-9/27/23,WestFlat,Elmidae,7,Arthropoda,,Insecta,,Coleoptera,Elmidae,CG,4,CN,FALSE
030673-9/27/23,WestFlat,Haliplidae,1,Arthropoda,,Insecta,,Coleoptera,Haliplidae,SH,7.3,,FALSE
030673-9/27/23,WestFlat,Heptageniidae,16,Arthropoda,,Insecta,,Ephemeroptera,Heptageniidae,SC,1.9,CN,FALSE
030673-9/27/23,WestFlat,Hydropsychidae,6,Arthropoda,,Insecta,,Trichoptera,Hydropsychidae,CF,2.7,CN,FALSE
030673-9/27/23,WestFlat,Isonychiidae,1,Arthropoda,,Insecta,,Ephemeroptera,Isonychiidae,CF,2.8,SW,FALSE
030673-9/27/23,WestFlat,Isopoda,18,Arthropoda,Crustacea,Crustacea,,Isopoda,,SH,7.6,,FALSE
030673-9/27/23,WestFlat,Leptophlebiidae,12,Arthropoda,,Insecta,,Ephemeroptera,Leptophlebiidae,CG,2.3,CN;SW,FALSE
030673-9/27/23,WestFlat,Oligochaeta,10,Annelida,,Oligochaeta,,Haplotaxida,,CG,NA,BU,FALSE
030673-9/27/23,WestFlat,Perlidae,1,Arthropoda,,Insecta,,Plecoptera,Perlidae,PR,1.8,CN,FALSE
030673-9/27/23,WestFlat,Phryganeidae,1,Arthropoda,,Insecta,,Trichoptera,Phryganeidae,SH,4.5,CB;CN,FALSE
030673-9/27/23,WestFlat,Physidae,1,Mollusca,,Gastropoda,,Basommatophora,Physidae,SC,8,CB,FALSE
030673-9/27/23,WestFlat,Pisidiidae,1,Mollusca,,Bivalvia,,Veneroida,Pisidiidae,CF,6.6,BU,FALSE
030673-9/27/23,WestFlat,Polycentropodidae,2,Arthropoda,,Insecta,,Trichoptera,Polycentropodidae,PR,5.5,CN,FALSE
030673-9/27/23,WestFlat,Psychomyiidae,2,Arthropoda,,Insecta,,Trichoptera,Psychomyiidae,SC,2.5,CN,FALSE
030673-9/27/23,WestFlat,Simuliidae,16,Arthropoda,,Insecta,,Diptera,Simulidae,CF,4.2,CN,FALSE
030673-9/27/23,WestFlat,Tipulidae,4,Arthropoda,,Insecta,,Diptera,Tipulidae,CG,4,BU,FALSE
030673-9/27/23,WestFlat,Viviparidae,1,Mollusca,,Gastropoda,,Architaenioglossa,Viviparidae,SC,4.3,CB,FALSE
030769-8/25/23,WestFlat,Aeshnidae,1,Arthropoda,,Insecta,,Odonata,Aeshnidae,PR,5.7,CB;CN,FALSE
030769-8/25/23,WestFlat,Amphipoda,48,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
030769-8/25/23,WestFlat,Baetidae,11,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
030769-8/25/23,WestFlat,Belostomatidae,1,Arthropoda,,Insecta,,Hemiptera,Belostomatidae,PR,9.9,CB;SW,FALSE
030769-8/25/23,WestFlat,Ceratopogonidae,2,Arthropoda,,Insecta,,Diptera,Ceratopogonidae,PR,6.3,BU;SP,FALSE
030769-8/25/23,WestFlat,Chironomidae,53,Arthropoda,,Insecta,,Diptera,Chironomidae,CG,5.5,,FALSE
030769-8/25/23,WestFlat,Coenagrionidae,1,Arthropoda,,Insecta,,Odonata,Coenagrionidae,PR,8.1,CB;SP,FALSE
030769-8/25/23,WestFlat,Corixidae,1,Arthropoda,,Insecta,,Hemiptera,Corixidae,CG,8.2,SW,FALSE
030769-8/25/23,WestFlat,Dytiscidae,1,Arthropoda,,Insecta,,Coleoptera,Dytiscidae,PR,6.2,BU;SW,FALSE
030769-8/25/23,WestFlat,Gerridae,2,Arthropoda,,Insecta,,Hemiptera,Gerridae,PR,5.7,SK,FALSE
030769-8/25/23,WestFlat,Haliplidae,1,Arthropoda,,Insecta,,Coleoptera,Haliplidae,SH,7.3,,FALSE
030769-8/25/23,WestFlat,Hydracarina,3,Arthropoda,,Arachnida,,,,PR,5.5,,FALSE
030769-8/25/23,WestFlat,Hydrophilidae,2,Arthropoda,,Insecta,,Coleoptera,Hydrophilidae,PR,5.4,BU;SW,FALSE
030769-8/25/23,WestFlat,Isopoda,4,Arthropoda,Crustacea,Crustacea,,Isopoda,,SH,7.6,,FALSE
030769-8/25/23,WestFlat,Mesoveliidae,1,Arthropoda,,Insecta,,Hemiptera,Mesoveliidae,PR,NA,SK,FALSE
030769-8/25/23,WestFlat,Nepidae,1,Arthropoda,,Insecta,,Hemiptera,Nepidae,PR,7.4,CB;CN,FALSE
030769-8/25/23,WestFlat,Oligochaeta,211,Annelida,,Oligochaeta,,Haplotaxida,,CG,NA,BU,FALSE
030769-8/25/23,WestFlat,Physidae,11,Mollusca,,Gastropoda,,Basommatophora,Physidae,SC,8,CB,FALSE
030769-8/25/23,WestFlat,Tipulidae,2,Arthropoda,,Insecta,,Diptera,Tipulidae,CG,4,BU,FALSE
030769-8/25/23,WestFlat,Turbellaria,2,Platyhelminthes,,Turbellaria,,,,CG,NA,,FALSE
050176-8/3/23,MidSizeDry,Amphipoda,5,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
050176-8/3/23,MidSizeDry,Athericidae,1,Arthropoda,,Insecta,,Diptera,Athericidae,PR,2,SP,FALSE
050176-8/3/23,MidSizeDry,Baetidae,5,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
050176-8/3/23,MidSizeDry,Baetiscidae,1,Arthropoda,,Insecta,,Ephemeroptera,Baetiscidae,CG,3.3,BU;CN;SP,FALSE
050176-8/3/23,MidSizeDry,Brachycentridae,51,Arthropoda,,Insecta,,Trichoptera,Brachycentridae,CF,1,CN,FALSE
050176-8/3/23,MidSizeDry,Chironomidae,149,Arthropoda,,Insecta,,Diptera,Chironomidae,CG,5.5,,FALSE
050176-8/3/23,MidSizeDry,Corixidae,7,Arthropoda,,Insecta,,Hemiptera,Corixidae,CG,8.2,SW,FALSE
050176-8/3/23,MidSizeDry,Ephemerellidae,4,Arthropoda,,Insecta,,Ephemeroptera,Ephemerellidae,SC,2.2,CN,FALSE
050176-8/3/23,MidSizeDry,Haliplidae,1,Arthropoda,,Insecta,,Coleoptera,Haliplidae,SH,7.3,,FALSE
050176-8/3/23,MidSizeDry,Hydracarina,9,Arthropoda,,Arachnida,,,,PR,5.5,,FALSE
050176-8/3/23,MidSizeDry,Isopoda,9,Arthropoda,Crustacea,Crustacea,,Isopoda,,SH,7.6,,FALSE
050176-8/3/23,MidSizeDry,Leptophlebiidae,2,Arthropoda,,Insecta,,Ephemeroptera,Leptophlebiidae,CG,2.3,CN;SW,FALSE
050176-8/3/23,MidSizeDry,Limnephilidae,1,Arthropoda,,Insecta,,Trichoptera,Limnephilidae,SH,2.8,SP,FALSE
050176-8/3/23,MidSizeDry,Oligochaeta,7,Annelida,,Oligochaeta,,Haplotaxida,,CG,NA,BU,FALSE
050176-8/3/23,MidSizeDry,Physidae,2,Mollusca,,Gastropoda,,Basommatophora,Physidae,SC,8,CB,FALSE
050176-8/3/23,MidSizeDry,Planorbidae,1,Mollusca,,Gastropoda,,Basommatophora,Planorbidae,SC,6.5,CB,FALSE
050176-8/3/23,MidSizeDry,Simuliidae,3,Arthropoda,,Insecta,,Diptera,Simulidae,CF,4.2,CN,FALSE
050176-8/3/23,MidSizeDry,Tabanidae,4,Arthropoda,,Insecta,,Diptera,Tabanidae,PR,6.3,SP,FALSE
050176-8/3/23,MidSizeDry,Tipulidae,1,Arthropoda,,Insecta,,Diptera,Tipulidae,CG,4,BU,FALSE
050176-8/3/23,MidSizeDry,Turbellaria,1,Platyhelminthes,,Turbellaria,,,,CG,NA,,FALSE
050181-9/21/23,Narrow,Amphipoda,42,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
050181-9/21/23,Narrow,Baetidae,42,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
050181-9/21/23,Narrow,Brachycentridae,1,Arthropoda,,Insecta,,Trichoptera,Brachycentridae,CF,1,CN,FALSE
